Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,MaxUnder25,MaxOver25,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away,target_UNDER25
DEN,2025-02-24,18:00,Viborg,Silkeborg,1.0,4.0,A,,,,2.04,3.65,3.39,2.09,3.84,3.58,,,1501.1,1561.3,-60.2,3062.3,0.0197,0,0,3,1,4,0.0,0.2,0.1111,0.2667,-1,-1,-3,-2,-1,10,8,2,0,1,1,0,0,0,1,2,30,4,5,1,-5,0.75,10,1.3,1.7,1.7,1.4,1.5,1.3,-0.1,1.0592,0.056,0.0245,0.056,0.0513,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
DEN,2025-02-26,18:30,Aalborg,Nordsjaelland,1.0,2.0,A,,,,4.11,4.03,1.76,4.34,4.23,1.85,,,1460.9,1685.7,-224.8,3146.6,0.0714,1,3,5,6,10,0.3333,0.3333,0.6667,0.6667,-3,-5,1,2,-1,3,3,0,0,1,1,1,0,0,1,2,30,2,3,5,-8,0.25,10,1.4,1.6,1.8,1.3,1.8,2.2,0.1,1.0596,0.056,0.056,0.0511,0.0613,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
DEN,2025-02-28,18:00,Randers FC,Aarhus,1.0,1.0,D,,,,3.23,3.06,2.37,3.35,3.15,2.44,,,1568.4,1662.1,-93.7,3230.6,0.029,0,2,8,6,7,0.2222,0.5333,0.6667,0.4667,-4,1,-4,5,-9,7,5,2,0,2,2,0,0,0,1,2,31,1,4,5,-4,0.2,10,1.2,1.4,1.2,1.5,1.3,0.8,-0.3,1.0583,0.0372,0.0372,0.0295,0.1734,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
DEN,2025-03-02,13:00,Viborg,Vejle,3.0,1.0,H,,,,1.82,3.72,4.11,1.9,3.86,4.37,,,1484.6,1439.0,45.6,2923.7,0.0156,0,0,3,7,7,0.0,0.2,0.7778,0.4667,-7,-4,-3,7,-10,6,7,-1,0,1,2,0,1,0,0,3,31,2,2,6,4,0.2,10,1.3,1.6,1.8,0.7,0.9,2.1,0.6,1.0616,0.0633,0.044,0.0633,0.1429,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
DEN,2025-03-02,17:00,Aalborg,FC Copenhagen,0.0,0.0,D,,,,7.34,4.8,1.4,8.1,5.0,1.46,,,1455.8,1754.5,-298.7,3210.3,0.0931,1,3,4,9,15,0.3333,0.2667,1.0,1.0,-6,-11,2,3,-1,4,7,-3,-1,2,2,0,0,0,0,3,31,0,9,1,-14,0.0,10,1.1,1.3,2.0,1.8,1.7,1.1,-0.7,1.0589,0.1035,0.1035,0.0429,0.0827,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
DEN,2025-03-02,15:00,Midtjylland,Nordsjaelland,2.0,1.0,H,,,,2.12,3.47,3.33,2.19,3.55,3.75,,,1709.1,1690.9,18.2,3399.9,0.0054,0,6,12,9,12,0.6667,0.8,1.0,0.8,-3,0,0,6,-6,7,4,3,1,2,2,0,0,0,0,3,31,2,3,5,-1,0.4,10,2.7,1.9,1.0,1.3,1.6,2.2,1.4,1.0602,0.1261,0.033,0.1261,0.1794,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
DEN,2025-03-02,13:00,Sonderjyske,Silkeborg,1.0,3.0,A,,,,3.54,3.61,2.0,3.73,3.84,2.06,,,1398.9,1577.7,-178.8,2976.6,0.0601,0,3,4,3,4,0.3333,0.2667,0.3333,0.2667,0,0,2,2,0,7,6,1,0,2,2,0,1,0,0,3,31,2,4,4,-7,0.2,10,0.9,1.3,2.4,1.6,1.8,1.3,-0.7,1.0595,0.0637,0.0537,0.03,0.0817,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
DEN,2025-03-03,18:00,Brondby,Lyngby,1.0,1.0,D,,,,1.3,5.29,9.45,1.33,5.55,10.48,,,1678.3,1436.6,241.7,3114.9,0.0776,1,4,8,1,2,0.4444,0.5333,0.1111,0.1333,3,6,0,0,0,8,10,-2,-1,1,1,0,0,0,0,3,31,5,2,3,12,0.5,10,1.5,1.3,0.9,0.5,0.7,1.7,1.0,1.0641,0.109,0.0231,0.109,0.1345,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
DEN,2025-03-07,18:00,Nordsjaelland,Vejle,3.0,1.0,H,,,,1.4,4.78,7.17,1.43,5.25,8.0,,,1682.6,1428.3,254.2,3110.9,0.0817,1,6,9,4,7,0.6667,0.6,0.4444,0.4667,2,2,3,1,2,5,5,0,0,3,2,0,0,0,0,3,32,6,1,3,5,1.0,10,2.2,2.1,1.1,0.7,1.0,2.2,1.5,1.063,0.1158,0.0214,0.1158,0.1941,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
DEN,2025-03-09,13:00,Aalborg,Midtjylland,1.0,4.0,A,,,,4.61,4.01,1.68,4.9,4.25,1.74,,,1462.1,1717.4,-255.3,3179.5,0.0803,1,1,4,6,12,0.1111,0.2667,0.6667,0.8,-5,-8,-2,0,-2,7,7,0,0,3,2,0,1,0,0,3,32,1,6,3,-8,0.0,10,1.2,1.1,1.7,1.4,1.5,1.3,-0.2,1.0615,0.0629,0.0629,0.0357,0.0517,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
