Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,MaxUnder25,MaxOver25,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away,target_UNDER25
AUT,2025-02-09,13:30:00,Tirol,Hartberg,0.0,0.0,D,,,,3.13,3.25,2.29,3.35,3.4,2.55,,,1409.1,1550.3,-141.2,2959.3,0.0477,0,4,4,3,4,0.4444,0.2667,0.3333,0.2667,1,0,4,2,2,30,30,0,0,0,0,0,0,0,1,2,28,4,5,1,-10,0.6666666666666666,10,0.7,0.3,1.0,0.8,1.1,1.9,-0.1,1.0639,0.1135,0.0703,0.1135,0.0986,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
AUT,2025-02-09,13:30:00,A. Klagenfurt,Salzburg,0.0,0.0,D,,,,6.5,4.65,1.44,7.56,5.14,1.5,,,1458.0,1753.6,-295.6,3211.6,0.092,1,0,0,7,10,0.0,0.0,0.7778,0.6667,-7,-10,0,4,-4,30,30,0,0,0,0,0,0,0,1,2,28,1,7,2,-13,0.16666666666666666,10,1.0,1.0,1.4,1.2,1.1,1.5,-0.2,1.0633,0.1631,0.1631,0.0417,0.0697,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
AUT,2025-02-09,16:00:00,LASK,BW Linz,0.0,0.0,D,,,,2.33,3.03,3.29,2.42,3.2,3.5,,,1610.2,1500.4,109.8,3110.6,0.0353,0,4,7,6,9,0.4444,0.4667,0.6667,0.6,-2,-2,1,3,-2,30,30,0,0,0,0,0,0,0,1,2,28,2,3,0,-1,1.0,5,1.2,1.9,1.6,0.8,0.8,1.7,0.4,1.0632,0.0638,0.0386,0.0638,0.3342,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
AUT,2025-02-15,16:00:00,Wolfsberger AC,Sturm Graz,3.0,0.0,H,,,,3.0,3.38,2.3,3.14,3.49,2.4,,,1591.6,1813.3,-221.6,3404.9,0.0651,1,9,12,5,9,1.0,0.8,0.5556,0.6,4,3,6,1,5,7,8,-1,0,1,1,0,0,0,1,2,29,3,6,1,-2,0.0,10,1.2,1.3,1.4,2.0,1.8,1.0,-0.8,1.064,0.0467,0.0467,0.0435,-0.0186,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
AUT,2025-02-15,16:00:00,Salzburg,Tirol,1.0,1.0,D,,,,1.37,4.78,7.78,1.39,5.05,8.25,,,1747.4,1411.8,335.6,3159.2,0.1062,1,5,11,4,5,0.5556,0.7333,0.4444,0.3333,1,6,-1,3,-4,6,6,0,0,1,1,0,0,0,1,2,29,9,0,1,26,1.0,10,2.1,2.5,0.8,0.9,1.2,1.9,1.2,1.0677,0.0604,0.0146,0.0604,0.228,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
AUT,2025-02-15,16:00:00,BW Linz,Altach,1.0,3.0,A,,,,2.01,3.15,4.03,2.07,3.28,4.33,,,1504.5,1404.9,99.6,2909.5,0.0342,0,7,10,1,1,0.7778,0.6667,0.1111,0.0667,6,9,4,1,3,6,7,-1,0,1,1,0,0,0,1,2,29,2,0,4,2,0.5,6,1.6,1.2,0.8,0.8,0.7,1.5,0.8,1.0631,0.0744,0.0299,0.0744,0.2584,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
AUT,2025-02-16,16:00:00,Austria Vienna,SK Rapid,2.0,1.0,H,,,,2.93,3.17,2.46,3.06,3.32,2.54,,,1652.2,1652.3,-0.1,3304.5,0.0,0,7,13,4,5,0.7778,0.8667,0.4444,0.3333,3,8,1,3,-2,9,8,1,0,1,1,0,0,0,1,2,29,4,2,4,2,0.4,10,2.5,2.1,1.0,1.6,1.1,0.7,0.9,1.0633,0.0473,0.0444,0.0325,0.2783,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
AUT,2025-02-16,13:30:00,Grazer AK,LASK,0.0,0.0,D,,,,3.55,3.32,2.08,4.0,3.47,2.27,,,1464.5,1606.1,-141.5,3070.6,0.0461,0,3,9,2,5,0.3333,0.6,0.2222,0.3333,1,4,-3,-1,-2,8,7,1,0,1,1,0,0,0,1,2,29,0,1,0,-2,0.5,1,0.667,1.444,2.111,1.3,1.2,1.8,-0.633,1.0637,0.1268,0.1268,0.0913,0.1337,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
AUT,2025-02-16,13:30:00,Hartberg,A. Klagenfurt,1.0,1.0,D,,,,1.85,3.56,4.15,1.93,3.72,4.4,,,1547.5,1464.2,83.2,3011.7,0.0276,0,4,5,1,1,0.4444,0.3333,0.1111,0.0667,3,4,3,1,2,7,7,0,0,1,1,0,0,0,1,2,29,1,4,5,-5,0.3333333333333333,10,1.3,1.2,1.4,0.8,0.8,2.6,0.5,1.0624,0.0602,0.0432,0.0602,0.1985,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
AUT,2025-02-22,16:00:00,A. Klagenfurt,Grazer AK,4.0,2.0,H,,,,2.63,3.14,2.74,2.78,3.37,2.81,,,1467.7,1467.3,0.4,2935.0,0.0001,0,2,2,4,7,0.2222,0.1333,0.4444,0.4667,-2,-5,2,1,1,6,6,0,0,2,2,0,0,0,1,2,30,1,0,0,1,0.5,1,1.0,0.9,1.3,1.0,1.2,1.8,0.0,1.0637,0.0732,0.057,0.0255,0.2425,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
AUT,2025-02-22,16:00:00,Austria Vienna,Salzburg,0.0,1.0,A,,,,2.63,3.27,2.65,2.73,3.45,2.74,,,1661.0,1739.4,-78.4,3400.4,0.0231,0,7,13,5,9,0.7778,0.8667,0.5556,0.6,2,4,1,1,0,6,7,-1,0,1,2,0,0,0,1,2,30,0,4,6,-9,0.0,10,2.7,2.1,0.9,1.0,1.0,1.5,1.7,1.0634,0.055,0.038,0.034,0.1303,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,1
AUT,2025-02-22,16:00:00,Tirol,Wolfsberger AC,3.0,3.0,D,,,,3.54,3.27,2.1,3.82,3.37,2.16,,,1419.8,1617.2,-197.3,3037.0,0.065,0,2,6,9,15,0.2222,0.4,1.0,1.0,-7,-9,-2,3,-5,7,7,0,0,2,2,0,0,0,1,2,30,5,4,1,4,0.5,10,0.8,0.3,0.9,1.8,2.3,1.5,-1.0,1.0645,0.0791,0.0791,0.0286,0.0591,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,0
AUT,2025-02-23,13:30:00,Altach,Hartberg,0.0,0.0,D,,,,2.51,3.16,2.86,2.59,3.27,2.95,,,1424.6,1544.0,-119.4,2968.6,0.0402,0,3,4,5,5,0.3333,0.2667,0.5556,0.3333,-2,-1,2,5,-3,8,7,1,0,1,2,0,0,0,1,2,30,1,5,4,-8,0.25,10,0.7,1.0,1.3,0.9,1.1,1.7,-0.2,1.0645,0.0348,0.0319,0.0315,0.0551,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
AUT,2025-02-23,16:00:00,LASK,SK Rapid,2.0,1.0,H,,,,3.3,3.27,2.21,3.48,3.4,2.3,,,1603.3,1643.5,-40.2,3246.8,0.0124,0,2,6,1,4,0.2222,0.4,0.1111,0.2667,1,2,-2,-2,0,7,7,0,0,2,1,0,0,0,1,2,30,3,2,5,6,0.75,10,1.3,1.9,1.5,1.5,1.1,0.8,-0.2,1.0613,0.0545,0.0545,0.0407,0.2573,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
AUT,2025-02-23,13:30:00,Sturm Graz,BW Linz,2.0,1.0,H,,,,1.66,3.77,5.09,1.71,4.0,5.37,,,1787.7,1484.9,302.8,3272.6,0.0925,1,4,6,4,7,0.4444,0.4,0.4444,0.4667,0,-1,2,1,1,8,8,0,0,1,2,0,0,0,1,2,30,2,0,2,4,1.0,4,2.3,3.0,1.1,0.9,0.7,1.4,1.4,1.0641,0.061,0.0301,0.055,0.3292,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
AUT,2025-03-01,16:00:00,SK Rapid,Altach,5.0,0.0,H,,,,1.44,4.46,7.12,1.47,5.08,8.0,,,1633.6,1426.7,206.8,3060.3,0.0676,1,0,4,4,5,0.0,0.2667,0.4444,0.3333,-4,-1,-4,3,-7,6,6,0,0,2,2,0,0,0,0,3,31,10,0,0,20,1.0,10,1.9,1.4,1.2,1.1,0.9,1.4,0.8,1.0591,0.139,0.0208,0.1236,0.1754,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
AUT,2025-03-01,16:00:00,Hartberg,Wolfsberger AC,0.0,3.0,A,,,,2.89,3.33,2.39,2.99,3.48,2.48,,,1541.8,1613.0,-71.2,3154.8,0.0226,0,3,6,7,13,0.3333,0.4,0.7778,0.8667,-4,-7,0,1,-1,6,7,-1,0,2,2,0,0,0,0,3,31,8,1,1,12,0.8,10,1.4,1.2,1.3,1.9,2.5,1.5,-0.5,1.0647,0.045,0.0346,0.0377,0.1734,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
